;ShotType;Transition;TwoLegged;Angle;Distance;competition_EURO;competition_NBA;competition_SLO1;competition_U14;playertype_F;playertype_G;movement_dribble or cut;movement_no
3905;0;0;1;46.32;3.33;1;0;0;0;0;1;0;1
3906;0;0;1;52.16;6.65;1;0;0;0;0;1;0;1
3907;1;1;1;64.77;0.47;1;0;0;0;0;1;0;1
3908;4;0;1;67.28;0.52;1;0;0;0;0;1;0;1
3909;5;1;1;64.77;0.47;1;0;0;0;0;1;0;1
3910;1;0;1;0.0;0.47;1;0;0;0;0;1;0;1
3911;1;1;0;56.84;0.96;1;0;0;0;0;1;1;0
3912;1;1;1;35.54;0.65;1;0;0;0;0;1;0;1
3913;5;0;0;56.0;1.23;1;0;0;0;0;1;1;0
3914;3;0;1;73.86;4.41;1;0;0;0;1;0;0;1
3915;0;0;1;89.55;5.14;1;0;0;0;1;0;0;1
3916;0;0;0;83.94;2.42;1;0;0;0;1;0;0;1
3917;3;0;1;88.69;4.13;1;0;0;0;1;0;0;1
3918;5;0;0;1.74;1.76;1;0;0;0;1;0;0;0
3919;0;1;0;36.94;2.14;1;0;0;0;1;0;1;0
3920;0;0;0;74.75;2.61;1;0;0;0;1;0;0;1
3921;0;0;1;13.34;2.09;1;0;0;0;1;0;0;1
3922;3;0;0;84.95;2.9;1;0;0;0;1;0;0;1
3923;2;0;1;6.49;0.47;1;0;0;0;1;0;0;1
3924;5;0;0;30.81;4.81;1;0;0;0;1;0;1;0
3925;0;0;1;14.99;7.46;1;0;0;0;1;0;0;1
3926;2;0;1;30.52;0.42;1;0;0;0;1;0;0;1
3927;0;0;1;11.64;6.64;1;0;0;0;1;0;0;1
3928;0;1;1;34.8;9.95;1;0;0;0;1;0;0;1
3929;0;0;1;31.48;7.18;1;0;0;0;1;0;0;1
3930;0;0;1;52.5;7.5;1;0;0;0;1;0;0;1
3931;0;0;1;7.68;7.21;1;0;0;0;1;0;0;1
3932;3;0;1;87.28;1.98;1;0;0;0;0;0;0;1
3933;0;0;1;41.94;0.56;1;0;0;0;0;0;0;1
3934;0;0;1;85.73;1.99;1;0;0;0;0;0;0;1
3935;4;1;1;4.46;0.69;1;0;0;0;0;0;0;1
3936;4;0;1;66.54;0.64;1;0;0;0;0;0;0;1
3937;1;0;0;68.93;0.86;1;0;0;0;1;0;0;0
3938;1;0;0;72.93;0.5;1;0;0;0;1;0;1;0
3939;0;0;1;53.16;7.43;1;0;0;0;1;0;0;1
3940;1;0;0;79.56;0.82;1;0;0;0;1;0;1;0
3941;0;0;1;89.24;7.07;1;0;0;0;1;0;0;1
3942;0;0;1;0.8;7.69;1;0;0;0;1;0;0;1
3943;0;0;1;71.58;7.11;1;0;0;0;1;0;0;1
3944;0;0;1;88.62;6.16;1;0;0;0;1;0;0;1
3945;0;0;1;63.6;7.24;1;0;0;0;1;0;0;1
3946;0;0;1;84.51;4.36;1;0;0;0;0;0;0;1
3947;3;0;1;67.68;2.37;1;0;0;0;0;0;0;1
